City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
801,Ambunti,PG,74.79,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
802,Taitung,TW,77.31,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
804,Sibiti,CG,71.17,overcast clouds,-3.6819,13.3499,Gaby et confort
810,Antalaha,MG,72.54,few clouds,-14.9003,50.2788,Hotel Vitasoa
812,Sao Raimundo Das Mangabeiras,BR,82.99,broken clouds,-7.0219,-45.4811,Hotel Tropical
817,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
820,Parkersburg,US,83.53,clear sky,39.2667,-81.5615,The Blennerhassett Hotel
822,Funadhoo,MV,83.71,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
824,Tambilil,PH,78.78,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
826,Jiwani,PK,82.0,few clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
828,Jalu,LY,72.25,broken clouds,29.0331,21.5482,صاحبة الفخامة
831,Vilhena,BR,84.42,few clouds,-12.7406,-60.1458,Hotel Mirage
837,Santa Cruz De La Palma,ES,70.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
839,Bacolod,PH,79.18,overcast clouds,10.6667,122.95,Planta Hotel & Residences
842,Inirida,CO,85.32,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
843,Lancaster,US,72.9,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
846,Englewood,US,82.49,scattered clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
848,Carlisle,US,76.64,clear sky,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
