City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Clyde River,CA,70.4692,-68.5914,26.83,68,0,8.05,clear sky
162,Lompoc,US,34.6391,-120.4579,71.56,55,0,27.63,clear sky
163,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,75,0.0,broken clouds
164,Carutapera,BR,-1.195,-46.02,76.44,88,100,3.02,moderate rain
165,Batagay-Alyta,RU,67.8006,130.4114,9.93,77,99,3.24,overcast clouds
166,Dikson,RU,73.5069,80.5464,25.3,92,100,27.11,light snow
167,Cedar City,US,37.6775,-113.0619,58.17,12,0,25.32,clear sky
168,Myitkyina,MM,25.3833,97.4,71.49,99,100,1.88,overcast clouds
169,San Cristobal,VE,7.7669,-72.225,77.18,94,99,3.22,overcast clouds
170,Malim,PH,7.452,123.4312,78.53,86,100,3.22,overcast clouds
171,Lebu,CL,-37.6167,-73.65,53.47,70,100,11.23,overcast clouds
172,Lac Du Bonnet,CA,50.2536,-96.0612,67.21,34,6,15.79,clear sky
173,Korla,CN,41.7597,86.1469,73.85,26,55,13.49,broken clouds
174,Kudahuvadhoo,MV,2.6708,72.8944,83.98,77,65,19.66,broken clouds
175,Jardim,BR,-21.4803,-56.1381,69.87,87,66,4.68,light rain
176,Gladstone,AU,-23.85,151.25,71.53,83,100,10.36,light intensity shower rain
177,Pevek,RU,69.7008,170.3133,29.17,77,100,7.54,overcast clouds
178,Mayumba,GA,-3.432,10.6554,78.28,93,83,5.06,broken clouds
179,Lar,IN,26.2039,83.9717,88.97,47,0,8.81,clear sky
180,Angoram,PG,-4.0625,144.0661,74.88,99,87,1.81,overcast clouds
181,Muli,MV,2.9167,73.5667,84.29,78,84,20.15,broken clouds
182,Yellowknife,CA,62.456,-114.3525,34.32,69,100,8.05,light snow
183,Barquisimeto,VE,10.0739,-69.3228,77.63,73,75,12.66,light rain
184,Hami,CN,42.8,93.45,63.12,11,77,10.2,broken clouds
185,Soc Trang,VN,9.6033,105.98,80.1,87,98,4.36,overcast clouds
186,Haapiti,PF,-17.5667,-149.8667,83.93,71,7,17.81,clear sky
187,Chicama,PE,-7.8447,-79.1469,63.14,66,8,9.31,clear sky
188,Hermitage,US,41.2334,-80.4487,78.73,20,75,6.91,broken clouds
189,Rocha,UY,-34.4833,-54.3333,59.61,94,100,6.98,moderate rain
190,Berdigestyakh,RU,62.0989,126.6992,22.42,83,7,8.59,clear sky
191,Luderitz,NA,-26.6481,15.1594,58.42,65,36,7.38,scattered clouds
192,Alofi,NU,-19.0595,-169.9187,80.49,74,75,12.66,broken clouds
193,Ambon,ID,-3.6954,128.1814,77.14,94,40,1.14,moderate rain
194,Mugur-Aksy,RU,50.35,90.5,27.19,57,0,4.7,clear sky
195,Caravelas,BR,-17.7125,-39.2481,72.64,82,4,5.68,clear sky
